brazil,acre,alagoas,amapa,amazonas,bahia,ceara,espirito-santo,federal-district,goias,maranhao,mato-grosso,mato-grosso-do-sul,minas-gerais,para,paraiba,parana,pernambuco,piaui,rio-de-janeiro,rio-grande-do-norte,rio-grande-do-sul,rondonia,roraima,santa-catarina,sao-paulo,sergipe,tocantins
acre,brasilia,agua-branca,macapa,alvaraes,acajutiba,acarau,afonso-claudio,aguas-claras,abadiania,alcantara,alta-floresta,anastacio,abaete,abaetetuba,alagoa-grande,almirante-tamandare,abreu-e-lima,agua-branca,angra-dos-reis,acu,alegrete,ariquemes,boa-vista,anitapolis,adamantina,aquidaba,alvorada
alagoas,feijo,anadia,mazagao,anori,alagoinhas,acopiara,aguia-branca,brasilia,anapolis,amarante-do-maranhao,alto-araguaia,aparecida-do-taboado,acucena,abidos,alagoa-nova,altania,afogados-da-ingazeira,alto-longa,araruama,afonso-bezerra,arroio-do-meio,cacoal,caracarai,ararangua,aguai,aracaju,araguaina
amapa,mancio-lima,arapiraca,santana,autazes,amargosa,amontada,alegre,brazlandia,anicuns,anajatuba,araguaiana,aquidauana,aguas-formosas,acara,alagoinha,alto-parana,agrestina,altos,areal,alexandria,arroio-dos-ratos,guajara-mirim,rorainopolis,armacao,aguas-de-lindoia,araua,gurupi
amazonas,manoel-urbano,atalaia,,barcelos,america-dourada,aquiraz,alfredo-chaves,candangolandia,aparecida-de-goiania,araioses,arenapolis,bataipora,aguas-vermelhas,afua,alhandra,alto-piquiri,agua-preta,amarante,armacao-de-buzios,angicos,arroio-grande,jaru,,balneario-camboriu,agudos,areia-branca,palmas
bahia,marechal-thaumaturgo,barra-de-santo-antonio,,barreirinha,anage,aracati,aracruz,ceilandia,aragarcas,arari,aripuana,bela-vista,aimores,alenquer,arara,ampere,aguas-belas,barras,arraial-do-cabo,apodi,bage,ouro-preto-do-oeste,,barra-velha,altinopolis,barra-dos-coqueiros,taguatinga
ceara,placido-de-castro,batalha,,benjamin-constant,araci,aracoiaba,baixo-guandu,cruzeiro,barro-alto,bacabal,barao-de-melgaco,bonito,alem-paraiba,almeirim,araruna,antonina,altinho,batalha,barra-do-pirai,areia-branca,bento-goncalves,pimenta-bueno,,biguacu,alvares-machado,boquim,
espirito-santo,porto-walter,cacimbinhas,,boca-do-acre,baixa-grande,araripe,barra-de-sao-francisco,gama,bela-vista-de-goias,balsas,barra-do-bugres,caarapo,alfenas,altamira,areia,apucarana,amaraji,beneditinos,barra-mansa,ares,butia,porto-velho,,blumenau,americana,campo-do-brito,
federal-district,rio-branco,cajueiro,,borba,barra,assare,boa-esperanca,guara,buriti-alegre,barra-do-corda,barra-do-garcas,camapua,almenara,ananindeua,aroeiras,arapongas,aracoiaba,bom-jesus,belford-roxo,barauna,cacapava-do-sul,posto-fiscal-rolim-de-moura,,braco-do-norte,americo-brasiliense,caninde-de-sao-francisco,
goias,sena-madureira,campo-alegre,,canutama,barra-da-estiva,aurora,cachoeiro-de-itapemirim,itapoa,cacu,barreirinhas,chapada-dos-guimaraes,campo-grande,alpinopolis,augusto-correa,bananeiras,araucaria,araripina,buriti-dos-lopes,bom-jesus-do-itabapoana,brejinho,cacequi,presidente-medici,,brusque,amparo,capela,
