finland,eastern-finland,lapland,oulu,southern-finland,western-finland
eastern-finland,eno,enontekioe,alavieska,anjala,aanekoski
lapland,enonkoski,inari,haapajarvi,artjarvi,aetsa
oulu,haukivuori,ivalo,haapavesi,asikkala,ahtari
southern-finland,heinavesi,kemi,hailuoto,askola,akaa
western-finland,hirvensalmi,kemijaervi,haukipudas,auttoinen,alaharma
,iisalmi,keminmaa,hyrynsalmi,ekenaes,alajarvi
,ilomantsi,kittila,ii,elimaki,alastaro
,jappila,kolari,kajaani,espoo,alavus
,joensuu,muonio,kalajoki,forssa,askainen
,joroinen,pelkosenniemi,karsamaki,haemeenkoski,aura
,juankoski,pello,kempele,hameenlinna,dragsfjard
,juuka,posio,kestila,hamina,eura
,juva,pyhajarvi,kiiminki,hanko,eurajoki
,kaavi,ranua,kuhmo,hartola,evijarvi
,kangaslampi,rovaniemi,kuivaniemi,hauho,halikko
,kangasniemi,salla,kuusamo,hausjarvi,halsua
,karttula,savukoski,liminka,heinola,hameenkyro
,keitele,simo,lumijoki,helsinki,hankasalmi
,kerimaki,sodankyla,merijarvi,hollola,harjavalta
,kesalahti,tervola,muhos,humppila,himanka
,kiihtelysvaara,tornio,nivala,hyvinkaa,houtskar
,kitee,utsjoki,oulainen,iitti,huittinen
,kiuruvesi,ylitornio,oulunsalo,imatra,ikaalinen
,kontiolahti,,paltamo,inga,ilmajoki
,kuopio,,piippola,jaala,inio
,lapinlahti,,pudasjarvi,janakkala,isojoki
,leppavirta,,pulkkila,jarvenpaa,isokyro
,lieksa,,puolanka,jokioinen,jakobstad
,liperi,,pyhaejaervi,joutseno,jalasjarvi
,maaninka,,pyhajoki,kalvola,jamijarvi
,mantyharju,,pyhanta,karhula,jamsa
,mikkeli,,raahe,karis,jamsankoski
,nilsia,,rantsila,karjalohja,joutsa
,nurmes,,reisjarvi,karkkila,jurva
,outokumpu,,ristijarvi,karkola,juupajoki
,pertunmaa,,ruukki,kauniainen,jyvaskyla
,pieksamaen-maalaiskunta,,sievi,kerava,kaarina
,pieksamaki,,siikajoki,kirkkonummi,kalvia
,pielavesi,,sotkamo,kotka,kangasala
,polvijaervi,,suomussalmi,kouvola,kankaanpaa
,punkaharju,,taivalkoski,kuusankoski,kannonkoski
,puumala,,tyrnava,lahti,kannus
,pyhaselka,,utajarvi,lammi,karijoki
,raakkyla,,vaala,lapinjarvi,karinainen
,rantasalmi,,vihanti,lappeenranta,karleby
,rautalampi,,vuolijoki,lemi,karstula
,rautavaara,,yli-ii,liljendal,karvia
,ristiina,,ylikiiminki,lohja,kaskinen
,savonlinna,,ylivieska,loppi,kauhajoki
,savonranta,,,lovisa,kauhava
,siilinjarvi,,,luumaki,kaustinen
,sonkajarvi,,,mantsala,keuruu
,sulkava,,,miehikkala,kihnioe
,suonenjoki,,,myrskylae,kiikala
,tervo,,,nastola,kiikoinen
,tohmajarvi,,,nurmijarvi,kimito
,tuupovaara,,,orimattila,kinnula
,tuusniemi,,,otaniemi,kisko
,valtimo,,,padasjoki,kiukainen
,varkaus,,,parikkala,kivijaervi
,varpaisjarvi,,,perna,kokemaki
,vehmersalmi,,,pohja,konnevesi
,vesanto,,,pornainen,korpilahti
,vierema,,,porvoo,korsholm
,virtasalmi,,,pukkila,korsnas
,,,,pyhtaa,kortesjarvi
,,,,rautjarvi,koylio
,,,,renko,kristinestad
,,,,riihimaki,kronoby
,,,,ruokolahti,kuhmalahti
,,,,ruotsinpyhtaeae,kuhmoinen
,,,,saari,kullaa
,,,,sammatti,kuortane
,,,,savitaipale,kurikka
,,,,sibbo,kuru
,,,,siuntio,kuusjoki
,,,,sysma,kylmakoski
,,,,taipalsaari,kyyjarvi
,,,,tammela,laihia
,,,,teekkarikylae,laitila
,,,,tervakoski,langelmaki
,,,,tuulos,lappajarvi
,,,,tuusula,lappi
,,,,valkeala,lapua
,,,,vantaa,larsmo
,,,,vihti,laukaa
,,,,ylamaa,lavia
,,,,ypaejae,lehtimaki
,,,,,leivonmaki
,,,,,lempaala
,,,,,lemu
,,,,,lestijarvi
,,,,,lieto
,,,,,lohtaja
,,,,,loimaan-kunta
,,,,,luhanka
,,,,,luopioinen
,,,,,luvia
,,,,,maenttae
,,,,,malax
,,,,,marttila
,,,,,masku
,,,,,mellila
,,,,,merikarvia
,,,,,merimasku
,,,,,mietoinen
,,,,,mouhijarvi
,,,,,multia
,,,,,muurame
,,,,,muurla
,,,,,mynamaki
,,,,,naantali
,,,,,nagu
,,,,,nakkila
,,,,,nokia
,,,,,noormarkku
,,,,,nousiainen
,,,,,nurmo
,,,,,nykarleby
,,,,,oravais
,,,,,oripaa
,,,,,orivesi
,,,,,paimio
,,,,,palkane
,,,,,pargas
,,,,,parkano
,,,,,pedersoren-kunta
,,,,,perho
,,,,,pernio
,,,,,pertteli
,,,,,petajavesi
,,,,,pihtipudas
,,,,,piikkio
,,,,,pirkkala
,,,,,pomarkku
,,,,,pori
,,,,,poytya
,,,,,punkalaidun
