ireland,connaught,leinster,munster,ulster
connaught,athenry,abbeyleix,abbeyfeale,an-cabhan
leinster,ballaghaderreen,an-longfort,an-teampall-mor,ardara
munster,ballina,an-muileann-gcearr,ballybunnion,bailieborough
ulster,ballinasloe,an-ros,bandon,ballybofey
,ballinrobe,ardee,bantry,ballyshannon
,ballyhaunis,arklow,blarney,belturbet
,beal-an-atha,ashbourne,cahersiveen,buncrana
,boyle,athboy,cahir,bundoran
,carrick-on-shannon,athlone,carrick-on-suir,carndonagh
,castlebar,athy,carrigaline,carrickmacross
,castlerea,bagenalstown,cashel,castleblayney
,claremorris,baile-atha-luain,castleisland,cavan
,clifden,balbriggan,cill-airne,cluain-eois
,galway,banagher,cill-rois,cootehill
,gort,birr,clonakilty,donegal
,loughrea,blackrock,clonmel,dunlewy
,moycullen,blessington,cobh,glenties
,oranmore,bray,cork,gweedore
,roscommon,carlow,derry,killybegs
,sligo,castlecomer,dingle,leifear
,swinford,celbridge,dundalk,letterkenny
,tuam,cherryville,dungarvan,monaghan
,westport,clane,dunmanway,moville
,,clara,dunmore-east,
,,donabate,ennis,
,,donnybrook,eochaill,
,,drogheda,fermoy,
,,droichead-nua,kanturk,
,,dublin,kenmare,
,,duleek,kill,
,,dunboyne,killarney,
,,dundalk,killorglin,
,,dunshaughlin,kilmallock,
,,edenderry,kinsale,
,,enniscorthy,limerick,
,,enniskerry,listowel,
,,gorey,macroom,
,,granard,mallow,
,,greystones,midleton,
,,kells,mitchelstown,
,,kilcock,nenagh,
,,kilcoole,nenagh-bridge,
,,kilcormac,newcastle-west,
,,kildare,newmarket-on-fergus,
,,kilkenny,passage-west,
,,kinsealy-drinan,rath-luirc,
,,knockbridge,rathkeale,
,,laytown,roscrea,
,,leixlip,shannon,
,,loch-garman,skibbereen,
,,longford,thurles,
,,lusk,tipperary,
,,malahide,tower,
,,maynooth,tra-mhor,
,,moate,tralee,
,,monasterevin,tramore,
,,mountmellick,waterford,
,,mountrath,youghal,
,,mullingar,,
,,naas,,
,,navan,,
,,new-ross,,
,,newtown-trim,,
,,old-kilcullen,,
,,portarlington,,
,,portlaoise,,
,,portmarnock,,
,,portraine,,
,,prosperous,,
,,rathangan,,
,,rathcoole,,
,,rathdrum,,
,,ratoath,,
,,rosslare,,
,,rush,,
,,sallins,,
,,sandyford,,
,,skerries,,
,,swords,,
,,tallaght,,
,,thomastown,,
,,trim,,
,,tullamore,,
,,tullow,,
,,wexford,,
,,wicklow,,
