netherlands,drenthe,flevoland,friesland,gelderland,groningen,limburg,north-brabant,north-holland,overijssel,south-holland,utrecht,zeeland
drenthe,anloo,almere-stad,akkrum,aalten,aduard,amstenrade,aalburg,aalsmeer,almelo,alblasserdam,amerongen,axel
flevoland,assen,biddinghuizen,aldeboarn,almen,appingedam,arcen,aarle-rixtel,alkmaar,blokzijl,alphen-aan-den-rijn,amersfoort,borssele
friesland,borger,dronten,anjum,andelst,bedum,beek,almkerk,amstelveen,borne,barendrecht,baarn,bruinisse
gelderland,coevorden,emmeloord,augustinusga,apeldoorn,delfzijl,beesel,asten,amsterdam,boskamp,benthuizen,breukelen,burgh
groningen,dalen,ens,balk,arnhem,grijpskerk,berg,bergen-op-zoom,amsterdam-zuidoost,dalfsen,bergschenhoek,bunnik,goes
limburg,dwingeloo,lelystad,berltsum,baak,groningen,born,bergeyk,bennebroek,delden,berkel-en-rodenrijs,bunschoten,haamstede
north-brabant,emmen,urk,bilgaard,barchem,grootegast,broekhem,berghem,beverwijk,den-ham,bleiswijk,de-bilt,hulst
north-holland,emmer-compascuum,zeewolde,boelenslaan,barneveld,haren,brunssum,best,blaricum,deventer,bloemendaal,doorn,koewacht
overijssel,havelte,,bolsward,beekbergen,hoogezand,doenrade,bladel,bloemendaal,diepenheim,bodegraven,driebergen-rijsenburg,middelburg
south-holland,hoogeveen,,boornbergum,bennekom,korrewegwijk,eijsden,boekel,broek-in-waterland,enschede,boskoop,hoogland,renesse
utrecht,klazienaveen,,britsum,berg-and-lane,leek,elsloo,boxmeer,broek-op-langedijk,giethoorn,boven-hardinxveld,houten,sas-van-gent
zeeland,meppel,,broeksterwald,bergharen,noordhorn,gennep,boxtel,bussum,goor,brielle,ijsselstein,scharendijke
,ruinen,,buitenpost,beuningen,oldehove,haelen,breda,castricum,haaksbergen,capelle-aan-den-ijssel,leersum,sluiskil
,schoonebeek,,burdaard,borculo,oosterpark,heer,breugel,den-burg,hardenberg,capelle-west,leusden,terneuzen
,sleen,,burgum,bredevoort,oude-pekela,heerlen,cranendonck,den-helder,hasselt,de-lier,lopik,tholen
,tynaarlo,,camminghaburen,bredeweg,sappemeer,herkenbosch,cuijk,den-oever,heino,delfshaven,lunetten,veere
,vries,,damwald,brummen,slochteren,heythuysen,de-doornakkers,diemen,hengelo,delft,maarn,vlissingen
,zuidlaren,,de-knipe,culemborg,stadskanaal,hoensbroek,dinteloord,driemond,hengevelde,den-haag,maarsbergen,westdorpe
,,,de-westereen,de-horst,ulrum,houthem,dongen,duivendrecht,kampen,dirksland,maarssen,yerseke
,,,deinum,de-steeg,veendam,kelpen-oler,drimmelen,edam,losser,dordrecht,mijdrecht,zaamslag
,,,dokkum,dieren,vlagtwedde,kerkrade,eerde,egmond-aan-zee,magele,giessenburg,montfoort,
,,,drachten,doesburg,winschoten,klimmen,eersel,enkhuizen,markelo,goedereede,nieuwegein,
,,,drachtstercompagnie,doetinchem,winsum,koningsbosch,eindhoven,haarlem,oldemarkt,gorinchem,oudewater,
,,,drogeham,doorwerth,zuidhorn,kunrade,erp,harenkarspel,oldenzaal,gouda,overberg,
,,,dronryp,driel,,leeuwen,geertruidenberg,heemskerk,olst,groenswaard,randenbroek,
,,,eastermar,druten,,limbricht,geffen,heemstede,raalte,haastrecht,rhenen,
,,,echtenerbrug,duiven,,maasbracht,geldrop,heerhugowaard,schalkhaar,heerjansdam,soest,
,,,feanwalden,ede,,maasbree,goirle,heiloo,sint-jansklooster,heinenoord,spakenburg,
,,,ferwert,ederveen,,maastricht,grave,hilversum,staphorst,hellevoetsluis,veenendaal,
,,,franeker,eefde,,margraten,haaren,hoofddorp,steenwijk,hendrik-ido-ambacht,vianen,
,,,garyp,eerbeek,,mariarade,halsteren,hoorn,steenwijkerwold,hillegom,vreeland,
,,,gorredijk,eibergen,,meerssen,heesch,huizen,tubbergen,hoek-van-holland,wijk-bij-duurstede,
,,,goutum,elburg,,melick,heeze,kortenhoef,tuk,honselersdijk,woerden,
,,,grou,ellecom,,merkelbeek,helmond,landsmeer,vollenhove,katwijk-aan-den-rijn,woudenberg,
,,,gytsjerk,elst,,montfort,hilvarenbeek,laren,vriezenveen,katwijk-aan-zee,zeist,
,,,hallum,emst,,nederweert,keldonk,marken,vroomshoop,krimpen-aan-den-ijssel,,
,,,harkema,epe,,nieuw-lotbroek,klundert,monnickendam,wanneperveen,kwintsheul,,
,,,harlingen,epse,,nuth,kruisland,naarden,westerhaar-vriezenveensewijk,leerdam,,
,,,heeg,ermelo,,offenbeek,lakerlopen,nieuw-loosdrecht,wierden,leiden,,
,,,heerenveen,garderen,,oirsbeek,lepelstraat,opmeer,wijhe,leiderdorp,,
,,,hollum,geldermalsen,,posterholt,loon-op-zand,opperdoes,zwolle,leimuiden,,
,,,holwerd,gendringen,,puth,loosbroek,ouderkerk-aan-de-amstel,,liesveld,,
,,,huizum,gorssel,,reuver,mariaheide,oud-loosdrecht,,lisse,,
,,,hurdegaryp,groesbeek,,roermond,meerhoven,purmerend,,maasdijk,,
,,,ijlst,gulden-bodem,,schin-op-geul,middelbeers,schagen,,maassluis,,
,,,jirnsum,harderwijk,,schinnen,mierlo,uitgeest,,middelharnis,,
,,,joure,harfsen,,schinveld,muschberg-en-geestenberg,uithoorn,,mijnsheerenland,,
,,,jubbega,harskamp,,sibbe,nieuw-vossemeer,velsen-zuid,,monster,,
,,,kollum,hattem,,simpelveld,nuenen,volendam,,naaldwijk,,
,,,kollumerzwaag,hedel,,sint-odilienberg,odiliapeel,weesp,,nieuwenhoorn,,
,,,kootstertille,heelsum,,sittard,oerle,zaandam,,nieuw-helvoet,,
,,,koudum,heerde,,stein,oirschot,zaanstad,,nieuwkoop,,
