turkey,adana,adiyaman,afyonkarahisar,agri,aksaray,amasya,ankara,antalya,ardahan,army,artvin,aydin,balikesir,bartin,batman,bayburt,bilecik,bingol,bitlis,bolu,burdur,bursa,canakkale,cankiri,corum,denizli,diyarbakir,duzce,edirne,elazig,erzincan,erzurum,eskisehir,gaziantep,giresun,gumushane,hakkari,hatay,igdir,isparta,istanbul,izmir,kahramanmaras,karabuk,karaman,kars,kastamonu,kayseri,kilis,kirikkale,kirklareli,kirsehir,kocaeli,konya,kutahya,malatya,manisa,mardin,mugla,mus,myrtle,nevsehir,nigde,osmanabad,rize,sakarya,mastiff,sanliurfa,siirt,sinop,sirnak,sivas,slap,tekirdag,trabzon,tunceli,usak,van,yalova,yozgat,zonguldak
adana,aladag,besni,basmakci,diyadin,agacoren,dedekoy,akyurt,akseki,damal,akkus,ardanuc,bozdogan,armutova,amasra,aviski,aydintepe,bozuyuk,genc,adilcevaz,akcakoca,aglasun,alanyurt,ayvacik,atkaracalar,alaca,acipayam,altinkum,akcakoca,enez,agin,cimin,askale,alpu,araban,bulancak,evren,cukurca,acikdere,aralik,aksu,arikoey,alacati,afsin,eflani,ayranci,akyaka,abana,akkisla,elbeyli,bahsili,babaeski,akcakent,basiskele,ahirli,altintas,akcadag,ahmetli,dargecit,bodrum,bulanik,anamur,acigol,altunhisar,garden,ardesen,adapazari,asarcik,akcakale,aydinlar,ayancik,beytussebap,akincilar,almus,cerkezkoy,akcaabat,cemisgezek,banaz,bakhchisaray,altinova,akdagmadeni,alapli
adiyaman,bahce,celikhan,bayat,dogubayazit,guzelyurt,goynucek,ayas,alanya,hanak,camas,arhavi,buharkent,ayvalik,kurucasile,aydinkonak,demirozu,golpazari,karliova,ahlat,dortdivan,altinyayla,balarim,behram,bayramoren,iskilip,akkoy,ambar,cilimli,havsa,aricak,ilic,hinis,beylikova,ikizce,dereli,kelkit,karsani-,anayazi,karakoyunlu,anamas,atasehir,aliaga,andiran,eskipazar,basyayla,arpacay,agli,bunyan,merkez,baliseyh,demirkoy,akpinar,cayirova,akoren,aslanapa,arapgir,akhisar,derik,dalaman,haskoy,aydincik,avanos,bor,duzici,camlihemsin,akyazi,atakum,birecik,baykan,boyabat,cizre,altinyayla,artova,corlu,arakli,hozat,esme,baskale,armutlu,aydincik,caycuma
afyonkarahisar,ceyhan,gerger,bolvadin,eleskirt,ortakoy,gumushacikoy,batikent,avsallar,merdinik,fatsa,borcka,cine,balya,merkez,balpinar,merkez,inhisar,solhan,guroymak,gerede,bucak,boyalica,biga,cerkes,lacin,babadag,aralik,cumayeri,ipsala,baskil,kemah,horasan,cifteler,karkamis,dogankent,kose,semdinli,antioch,merkez,atabey,bagcilar,bayindir,caglayancerit,merkez,ermenek,digor,arac,develi,musabeyli,celebi,kofcaz,boztepe,darica,aksehir,cavdarhisar,arguvan,alasehir,kiziltepe,datca,korkut,bozyazi,derinkuyu,camardi,hasanbeyli,cayeli,arifiye,ayvacik,bozova,eruh,dikmen,guclukonak,divrigi,basciftlik,hayrabolu,arsine,mazgirt,karahalli,caldiran,ciftlikkuy,bogazliyan,devrek
agri,feke,golbasi,cay,dough,sariyahsi,merzifon,beypazari,belek,posof,gurgentepe,hopa,didim,bandirma,ulus,besiri,pulur,osmaneli,yayladere,hizan,goynuk,golhisar,cakirca,bozcaada,eldivan,mecitozu,baklan,bismil,golyaka,kesan,karakocan,kemaliye,ilica,mihalgazi,nizip,espiye,kurtun,yuksekova,asagikarafakili,tuzluca,egirdir,bahcelievler,bergama,aleyke,ovacik,kazimkarabekir,kagizman,azdavay,felahiye,polateli,delice,luleburgaz,cicekdagi,derince,altinekin,domanic,battalgazi,demirci,mazidagi,fethiye,malazgirt,camliyayla,gulsehir,ciftlik,kadirli,derepazari,erenler,bafra,ceylanpinar,kurtalan,duragan,idyll,dogansar,erbaa,malkara,powder-mountain,merkez,merkez,catak,cinarcik,candir,eregli
aksaray,imamoglu,kahta,dazkiri,patnos,,suluova,camlidere,demre,,ikizce,murgul,germencik,bigadic,,bespinar,,pazaryeri,yedisu,mutki,kibriscik,karamanli,cakirli,can,ilgaz,osmancik,bekilli,cermik,gumusova,lalapasa,keban,otlukbeli,ispir,saricakaya,nurdagi,eynesil,siran,,asagiokcular,,gelendost,basaksehir,candarli,elbistan,safranbolu,merkez,merkez,bozkurt,hacilar,,karakecili,merkez,kaman,dilovasi,beysehir,dumlupinar,darende,golmarmara,merkez,kavaklidere,merkez,gulnar,hacibektas,merkez,center,nut,ferizli,basin,halfeti,merkez,erfelek,center,gemerek,center,marmaraereglisi,carsibasi,nazimiye,sivasli,edremit,merkez,cayiralan,gokcebey
amasya,kadirli,samsat,dinar,taslicay,,tasova,cankaya,eksere,,kabaduz,savsat,incirliova,burhaniye,,binatli,,yenipazar,,tatvan,mudurnu,kemer,cerrah,eceabat,kizilirmak,sungurlu,bozkurt,cungus,kaynasli,meric,kovancilar,refahiye,karacoban,seyitgazi,oguzeli,gorele,torul,,baliklidere,,gonen,beylikduezue,cesme,goksun,yenice,sariveliler,sarikamis,catalzeytin,incesu,,keskin,pehlivankoy,merkez,gebze,bozkir,emet,dogansehir,gordes,midyat,koycegiz,varto,mediterranean,kozakli,ulukisla,sumbas,guneysu,geyve,canik,harran,pervari,gerze,silopi,golova,niksar,merkez,caykara,ovacik,ulubey,ercis,termal,pulling,center
ankara,karaisali,sincik,emirdag,,,,cubuk,elmali,,kabatas,yusufeli,karacasu,dursunbey,,cevrimova,,,,,seben,tefenni,demirtas,ezine,korgun,ugurludag,buldan,dicle,merkez,merkez,palu,tercan,karayazi,sivrihisar,sekili,kesap,yaglidere,,belen,,keciborlu,boyalik,cumaovasi,nurhak,,,selim,cide,kocasinan,,merkez,pinarhisar,mucur,golcuk,celtik,gediz,doganyol,kirkagac,nusaybin,marmaris,,mezitli,merkez,,toprakkale,hemsin,ditch,ilkadim,hilvan,sirvan,merkez,uludere,gurun,sunday,muratli,dernekpazari,pertek,,gevas,,kadisehri,
antalya,karatas,tut,evciler,,,,elmadag,finike,,korgan,,karpuzlu,edremit,,demiryol,,,,,yenicaga,yesilova,elbeyli,gelibolu,kursunlu,,civril,egil,yigilca,suloglu,sivrice,,narman,,uluyatir,nefsi-piraziz,,,boynuyogun,,pavlu-cebel,bueyuekcekmece,dikili,pazarcik,,,susuz,daday,melikgazi,,sulakyurt,vize,,izmit,cihanbeyli,hisarcik,hekimhan,koprubasi,omerli,merkez,,mut,urgup,,,ikizdere,karapurcek,ladik,center,,sarayduzu,,hafik,resadiye,saray,duzkoy,pulumur,,gurpinar,,center,
ardahan,kozan,,hocalar,,,,gudul,gazipasa,,kumru,,kocarli,erdek,,dogankavak,,,,,,,gemlik,gokceada,kursunlu,,honaz,ergani,,uzunkopru,turluk,,oltu,,yavuzeli,sebinkarahisar,,,buyukcat,,sarkikaraagac,buyukcavuslu,foca,,,,,devrekani,ozvatan,,yahsihan,,,kandira,cumra,merkez,kale,kula,savur,milas,,silifke,,,,iyidere,glaucoma,ondokuzmayis,siverek,,turkeli,,imranli,sulusaray,sarkoy,charity,,,center,,saraykent,
army,pozanti,,ihsaniye,,,,haymana,ibradi,,mesudiye,,kosk,gonen,,erkoklu,,,,,,,gursu,lapseki,merkez,,kale,hani,,,,,olur,,yesildere,tirebolu,,,buyukdalyan,,senirkent,canta,hypaepa,,,,,doganyurt,pinarbasi,,,,,karamursel,derbent,pazarlar,kuluncak,merkez,yesilli,ortaca,,tarsus,,,,tetovo,thermal-water,poplar,suruc,,,,kangal,turhal,,bridgehead,,,muradiye,,sarikaya,
